Job_title,Company_name,Required_time_experience,Salary,Job_location,Skill
Databricks Architect,Hexaware Technologies,15-18 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Azure Data Factory, databricks, Data Warehousing, SQL Azure, Azure Data Lake, SQL, Data Bricks, Architecture"
Python Full Stack Developer,Globallogic,5-10 Yrs,Not Provided,"Noida, Pune, Bangalore Rural","azure cloud services, continuous integration, redux, kubernetes, css, ci/cd, docker, sql"
Salesforce Developer,Tata Consultancy Services,8-13 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Lwc, Apex, Salesforce, Development, Sales force development"
Qa Engineer,Damco Solutions,8-11 Yrs,Not Provided,"Pune, Gurugram, Bengaluru","Playwright, Appium, Cypress, Java, Mobile Automation, Github, Ci/Cd, Jenkins"
Salesforce Architect,Tata Consultancy Services,10-18 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Lwc, Apex, Salesforce CRM, Technical Architecture, Salesforce, SFDC, Architecture, Technical"
Generative AI_SK,Infosys,3-5 Yrs,Not Provided,"Hybrid - Pune, Delhi / NCR, Mumbai (All Areas)","Generative Ai, Langchain, LLM, Data Science, Tensorflow, Prompt Engineering, Langgraph, Artificial Intelligence"
Teamcenter Developer,Tata Consultancy Services,2-7 Yrs,Not Provided,"Hyderabad, Pune, Bengaluru","Plm Teamcenter, Teamcenter, ITK, Itk Rac, Bmide, Itk Customization, Development, Customization"
Java Full Stack Developer,Capgemini,6-8 Yrs,15-25 Lacs PA,"Pune, Chennai, Bengaluru","Java, Spring Boot, Java Fullstack, React.Js, Angular, Microservices, Development, Boot"
Java Full Stack Developer,Capgemini,6-8 Yrs,15-25 Lacs PA,"Pune, Chennai, Bengaluru","React.Js, Angular, Java Fullstack, Full Stack, Java, Stack, Development"
Walk-in || Java Full Stack Developer,Tata Consultancy Services,Not Provided,Not Provided,Not Provided,"Aws Cloud, Fullstack Development, Azure Cloud, Java, Angularjs, Javascript, HTML, React.Js"
Java Developer- Walk in Drive,Tata Consultancy Services,4-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Spring Boot, Microservices, Drives, Java Development, Spring, Development, Boot"
Zensar is Hiring For Guidewire Technical Architect,Zensar,13-20 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","guidewire architect, guidewire technical architect, GW Architect, guidewire solution architect, Guidewire, gw solution architect, Architecture, guidewire cloud"
Hiring Adobe Experience Platform(AEP) & Adobe Journey Optimizer (AJO),Cognizant,3-6 Yrs,Not Provided,"Pune, Chennai, Bengaluru","AJO, Adobe Experience Platform, Aep, Adobe Journey Optimizer, Hiring, Adobe"
Java Full Stack Developer,Capgemini,6-8 Yrs,Not Provided,"Pune, Chennai, Bengaluru","Java, Java Fullstack, Angular, Development, Full Stack, Stack"
Data Engineer-Data Modeling,IBM,7-9 Yrs,Not Provided,"Pune, Bangalore Rural, Chennai","modeling, inform, data, data warehousing, dimensional modeling, dbms, data integrity, mobile device management"
Zensar is Hiring For Guidewire Billing Center Developer,Zensar,5-10 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Billing Center, Billing Center Development, BillingCenter, Guidewire BillingCenter, Guidewire, GWBC, Guidewire Developer, Gosu"
Hiring Adobe Experience Platform(AEP) & Adobe Journey Optimizer (AJO),Cognizant,5-9 Yrs,Not Provided,"Pune, Chennai, Bengaluru","AJO, Adobe Experience Platform, Aep, Adobe Journey Optimizer, Hiring, Adobe"
Zensar is hiring Guidewire ClaimCenter Config/INTEG Cloud Developer,Zensar,6-11 Yrs,Not Provided,"Hybrid - Hyderabad, Pune, Bengaluru","Integration, GW CC INTEGRATION, CLAIMCENTER, Cloud, Guidewire, CC, CLAIMCENTER INTEGRATION, CLAIM CENTER INTEGRATION"
Walk-in || Dot Net Azure Developer,Tata Consultancy Services,Not Provided,Not Provided,Not Provided,".Net, azure, .Net Core, Asp.Net Core, Dotnet Azure, ASP.Net, Development, DoT"
